MSISDN;GA_DATE;ID_DSF;STATUS;VALID_FLAG;REMARKS;;;
6285711156842;20260228;828418;4G Device;1;REGISTERED;;;
6285711204272;20260228;17810402;4G Device;1;REGISTERED;;;
6285711204278;20260228;17810402;4G Device;1;REGISTERED;;;
6285711283091;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711302874;20260228;17470612;4G Device;1;REGISTERED;;;
6285711308791;20260228;17783642;4G Device;1;REGISTERED;;;
6285711308928;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711316408;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711317198;20260228;17140880;4G Device;1;REGISTERED;;;
6285711341700;20260228;17496863;4G Device;1;REGISTERED;;;
6285711363656;20260228;1350584;4G Device;1;REGISTERED;;;
6285711396507;20260228;SFKRUI11;4G Device;1;REGISTERED;;;
6285711396509;20260228;SFKRUI11;4G Device;1;REGISTERED;;;
6285711400057;20260228;17770095;4G Device;1;REGISTERED;;;
6285711408534;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711408718;20260228;17268284;4G Device;1;REGISTERED;;;
6285711457723;20260228;SFPLUSLW2;4G Device;1;REGISTERED;;;
6285711457971;20260228;SFPLUSLW2;4G Device;1;REGISTERED;;;
6285711509580;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711509962;20260228;17764517;4G Device;1;REGISTERED;;;
6285711510024;20260228;17609023;4G Device;1;REGISTERED;;;
6285711510357;20260228;17609490;4G Device;1;REGISTERED;;;
6285711513317;20260228;17764517;4G Device;1;REGISTERED;;;
6285711520673;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711527189;20260228;17770074;4G Device;1;REGISTERED;;;
6285711527615;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711528724;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711528971;20260228;DSFTOMOHON1;4G Device;1;REGISTERED;;;
6285711530305;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711552041;20260228;17597806;4G Device;1;REGISTERED;;;
6285711559887;20260228;DSFKBG001;4G Device;1;REGISTERED;;;
6285711559960;20260228;DSFOUTER0026;4G Device;1;REGISTERED;;;
6285711560045;20260228;DSFOUTER0026;4G Device;1;REGISTERED;;;
6285711655048;20260228;17755105;4G Device;1;REGISTERED;;;
6285711655957;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711656209;20260228;17764517;4G Device;1;REGISTERED;;;
6285711665458;20260228;17446570;4G Device;1;REGISTERED;;;
6285711686810;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711686812;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711686818;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711695747;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711695764;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711695787;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711695845;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711716425;20260228;SFTGMS02;4G Device;1;REGISTERED;;;
6285711717196;20260228;SFTGMS02;4G Device;1;REGISTERED;;;
6285711717246;20260228;SFTGMS02;4G Device;1;REGISTERED;;;
6285711717853;20260228;17574643;4G Device;1;REGISTERED;;;
6285711722007;20260228;SFKRUI11;4G Device;1;REGISTERED;;;
6285711722107;20260228;SFKRUI11;4G Device;1;REGISTERED;;;
6285711722124;20260228;SFKRUI11;4G Device;1;REGISTERED;;;
6285711757377;20260228;SFBJB14;4G Device;1;REGISTERED;;;
6285711802052;20260228;DSFJAYAPURA2;4G Device;1;REGISTERED;;;
6285711802193;20260228;DSFJAYAPURA2;4G Device;1;REGISTERED;;;
6285711802209;20260228;DSFJAYAPURA1;4G Device;1;REGISTERED;;;
6285711835018;20260228;17797896;4G Device;1;REGISTERED;;;
6285711835574;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711836202;20260228;DSFTIMIKA1;4G Device;1;REGISTERED;;;
6285711839282;20260228;17797896;4G Device;1;REGISTERED;;;
6285711857260;20260228;17732716;4G Device;1;REGISTERED;;;
6285711857611;20260228;17732716;4G Device;1;REGISTERED;;;
6285711880819;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711880991;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711881867;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711881875;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711881898;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711882149;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711882152;20260228;17598746;4G Device;1;REGISTERED;;;
6285711882171;20260228;17598746;4G Device;1;REGISTERED;;;
6285711882232;20260228;DSFBOLMONG1;4G Device;1;REGISTERED;;;
6285711882236;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711882249;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711882303;20260228;DSFBOLMONG1;4G Device;1;REGISTERED;;;
6285711882355;20260228;DSFBOLMONG1;4G Device;1;REGISTERED;;;
6285711882389;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711882461;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711895385;20260228;17642982;4G Device;1;REGISTERED;;;
6285711899219;20260228;DSFOUTER0026;4G Device;1;REGISTERED;;;
6285711905900;20260228;907556;4G Device;1;REGISTERED;;;
6285711911934;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711911997;20260228;17688764;4G Device;1;REGISTERED;;;
6285711912001;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711912046;20260228;17688764;4G Device;1;REGISTERED;;;
6285711912864;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711912880;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711914947;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711917909;20260228;17801847;4G Device;1;REGISTERED;;;
6285711918004;20260228;DSFTOMOHON1;4G Device;1;REGISTERED;;;
6285711918279;20260228;17597385;4G Device;1;REGISTERED;;;
6285711918312;20260228;17739556;4G Device;1;REGISTERED;;;
6285711918326;20260228;17597385;4G Device;1;REGISTERED;;;
6285711918327;20260228;17739556;4G Device;1;REGISTERED;;;
6285711918438;20260228;17778436;4G Device;1;REGISTERED;;;
6285711918439;20260228;17778436;4G Device;1;REGISTERED;;;
6285711918441;20260228;17778436;4G Device;1;REGISTERED;;;
6285711918442;20260228;17778436;4G Device;1;REGISTERED;;;
6285711918447;20260228;17778436;4G Device;1;REGISTERED;;;
6285711918451;20260228;17778436;4G Device;1;REGISTERED;;;
6285711918454;20260228;17778436;4G Device;1;REGISTERED;;;
6285711918457;20260228;17778436;4G Device;1;REGISTERED;;;
6285711918647;20260228;17440147;4G Device;1;REGISTERED;;;
6285711918783;20260228;17791410;4G Device;1;REGISTERED;;;
6285711918784;20260228;17532780;4G Device;1;REGISTERED;;;
6285711918790;20260228;17692202;4G Device;1;REGISTERED;;;
6285711918813;20260228;1532730;4G Device;1;REGISTERED;;;
6285711918913;20260228;17791611;4G Device;1;REGISTERED;;;
6285711918915;20260228;17791410;4G Device;1;REGISTERED;;;
6285711918921;20260228;17791611;4G Device;1;REGISTERED;;;
6285711918933;20260228;17448055;4G Device;1;REGISTERED;;;
6285711918945;20260228;17797395;4G Device;1;REGISTERED;;;
6285711918961;20260228;17667531;4G Device;1;REGISTERED;;;
6285711919046;20260228;17688283;4G Device;1;REGISTERED;;;
6285711919124;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711919170;20260228;DSFTERNATE2;4G Device;1;REGISTERED;;;
6285711919322;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711919659;20260228;17628049;4G Device;1;REGISTERED;;;
6285711919662;20260228;17005750;4G Device;1;REGISTERED;;;
6285711919667;20260228;17628049;4G Device;1;REGISTERED;;;
6285711919717;20260228;17718803;4G Device;1;REGISTERED;;;
6285711919820;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711919825;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711919834;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711919836;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711919850;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711920238;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711920240;20260228;17613691;4G Device;1;REGISTERED;;;
6285711920246;20260228;17789439;4G Device;1;REGISTERED;;;
6285711920460;20260228;DSFBOLMONG1;4G Device;1;REGISTERED;;;
6285711920773;20260228;17445040;4G Device;1;REGISTERED;;;
6285711920792;20260228;17797395;4G Device;1;REGISTERED;;;
6285711920811;20260228;17025168;4G Device;1;REGISTERED;;;
6285711920821;20260228;17025168;4G Device;1;REGISTERED;;;
6285711921097;20260228;TFBPJB14;4G Device;1;REGISTERED;;;
6285711921108;20260228;17609852;4G Device;1;REGISTERED;;;
6285711921195;20260228;17316300;4G Device;1;REGISTERED;;;
6285711921588;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711921708;20260228;17743406;4G Device;1;REGISTERED;;;
6285711921852;20260228;736647;4G Device;1;REGISTERED;;;
6285711922077;20260228;SFBJB14;4G Device;1;REGISTERED;;;
6285711922078;20260228;SFBJB14;4G Device;1;REGISTERED;;;
6285711922088;20260228;SFBJB14;4G Device;1;REGISTERED;;;
6285711922092;20260228;SFBJB14;4G Device;1;REGISTERED;;;
6285711922093;20260228;SFBJB14;4G Device;1;REGISTERED;;;
6285711922195;20260228;TFBPJB03;4G Device;1;REGISTERED;;;
6285711922207;20260228;TFBPJB03;4G Device;1;REGISTERED;;;
6285711922215;20260228;TFBPJB03;4G Device;1;REGISTERED;;;
6285711922489;20260228;17758441;4G Device;1;REGISTERED;;;
6285711922553;20260228;17758441;4G Device;1;REGISTERED;;;
6285711922588;20260228;17515470;4G Device;1;REGISTERED;;;
6285711922595;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711922598;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711922612;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711922647;20260228;0;4G Device;1;NOT REGISTERED;;;
6285711922674;20260228;17718803;4G Device;1;REGISTERED;;;
6285711922903;20260228;17749755;4G Device;1;REGISTERED;;;
6285711922907;20260228;17749755;4G Device;1;REGISTERED;;;
