MSISDN;GA_DATE;ID_DSF;DEVICE;VALID_FLAG;REMARKS;
6285702318439;20260617;0;4G;1;NOT REGISTERED;
6285711969137;20260622;17812700;4G;1;REGISTERED;
6285716162272;20260605;TFSPT02;4G;1;REGISTERED;
6285716167922;20260624;0;4G;1;NOT REGISTERED;
6285716173493;20260611;0;4G;1;NOT REGISTERED;
6285716180622;20260617;1404212;4G;1;REGISTERED;
6285716180674;20260624;0;4G;1;NOT REGISTERED;
6285717853878;20260602;0;4G;1;NOT REGISTERED;
6285717855674;20260617;0;4G;1;NOT REGISTERED;
6285864123011;20260624;0;4G;1;NOT REGISTERED;
6285864134367;20260623;17719155;4G;1;REGISTERED;
6285864155626;20260624;0;4G;1;NOT REGISTERED;
6285864155651;20260624;0;4G;1;NOT REGISTERED;
6285864155658;20260624;0;4G;1;NOT REGISTERED;
6285864155667;20260624;0;4G;1;NOT REGISTERED;
6285864155670;20260624;0;4G;1;NOT REGISTERED;
6285864155682;20260624;0;4G;1;NOT REGISTERED;
6285864155684;20260624;0;4G;1;NOT REGISTERED;
6285864155697;20260624;0;4G;1;NOT REGISTERED;
6285864155742;20260624;0;4G;1;NOT REGISTERED;
6285864155759;20260624;0;4G;1;NOT REGISTERED;
6285864170132;20260624;0;4G;1;NOT REGISTERED;
6285864226852;20260624;0;4G;1;NOT REGISTERED;
6285864272983;20260624;0;4G;1;NOT REGISTERED;
6285864273004;20260624;0;4G;1;NOT REGISTERED;
6285864273014;20260624;0;4G;1;NOT REGISTERED;
6285864273022;20260624;0;4G;1;NOT REGISTERED;
6285864273032;20260624;0;4G;1;NOT REGISTERED;
6285864273052;20260624;0;4G;1;NOT REGISTERED;
6285864273075;20260624;0;4G;1;NOT REGISTERED;
6285871040431;20260618;AECJJAVA0013;4G;1;REGISTERED;
6285871041084;20260619;1574595;4G;1;REGISTERED;
6285871042963;20260624;0;4G;1;NOT REGISTERED;
6285871042964;20260624;0;4G;1;NOT REGISTERED;
6285871042965;20260624;0;4G;1;NOT REGISTERED;
6285871042966;20260624;0;4G;1;NOT REGISTERED;
6285871042967;20260624;0;4G;1;NOT REGISTERED;
